UtteranceDataType,utterance,intent,agent_id,background_skill_id
GOLDEN_SET,are there any activities today,CalendarEventInfoIntent,,
GOLDEN_SET,are there any activities tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,are there any events today,CalendarEventInfoIntent,,
GOLDEN_SET,are there any events tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,are there any programs today,CalendarEventInfoIntent,,
GOLDEN_SET,are there any programs tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are on friday,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are on monday,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are on saturday,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are on sunday,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are on the calendar today,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are on the calendar tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are on thursday,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are on tuesday,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are on wednesday,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are today,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what are the activities on friday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the activities on monday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the activities on saturday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the activities on sunday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the activities on thursday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the activities on tuesday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the activities on wednesday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the activities today,CalendarEventInfoIntent,,
GOLDEN_SET,what are the activities tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what are the events friday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the events monday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the events saturday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the events sunday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the events thursday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the events today,CalendarEventInfoIntent,,
GOLDEN_SET,what are the events tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what are the events tuesday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the events wednesday,CalendarEventInfoIntent,,
GOLDEN_SET,what are the programs today,CalendarEventInfoIntent,,
GOLDEN_SET,what are the programs tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what are today's activities,CalendarEventInfoIntent,,
GOLDEN_SET,what are today's events,CalendarEventInfoIntent,,
GOLDEN_SET,what are today's programs,CalendarEventInfoIntent,,
GOLDEN_SET,what are tomorrow's activities,CalendarEventInfoIntent,,
GOLDEN_SET,what are tomorrow's events,CalendarEventInfoIntent,,
GOLDEN_SET,what are tomorrow's programs,CalendarEventInfoIntent,,
GOLDEN_SET,what events are on friday,CalendarEventInfoIntent,,
GOLDEN_SET,what events are on monday,CalendarEventInfoIntent,,
GOLDEN_SET,what events are on saturday,CalendarEventInfoIntent,,
GOLDEN_SET,what events are on sunday,CalendarEventInfoIntent,,
GOLDEN_SET,what events are on the calendar today,CalendarEventInfoIntent,,
GOLDEN_SET,what events are on the calendar tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what events are on thursday,CalendarEventInfoIntent,,
GOLDEN_SET,what events are on tuesday,CalendarEventInfoIntent,,
GOLDEN_SET,what events are on wednesday,CalendarEventInfoIntent,,
GOLDEN_SET,what events are today,CalendarEventInfoIntent,,
GOLDEN_SET,what events are tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what is going on today,CalendarEventInfoIntent,,
GOLDEN_SET,what is going on tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what is happening today,CalendarEventInfoIntent,,
GOLDEN_SET,what is happening tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what is on the calendar for today,CalendarEventInfoIntent,,
GOLDEN_SET,what is on the calendar for tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what is on the calendar today,CalendarEventInfoIntent,,
GOLDEN_SET,what is on the calendar tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what kind of stuff is on the calendar today,CalendarEventInfoIntent,,
GOLDEN_SET,what kind of stuff is on the calendar tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what kind of things are on the calendar today,CalendarEventInfoIntent,,
GOLDEN_SET,what kind of things are on the calendar tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what programs are on the calendar today,CalendarEventInfoIntent,,
GOLDEN_SET,what programs are on the calendar tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what programs are today,CalendarEventInfoIntent,,
GOLDEN_SET,what programs are tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what stuff is on the calendar today,CalendarEventInfoIntent,,
GOLDEN_SET,what stuff is on the calendar tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what's going on friday,CalendarEventInfoIntent,,
GOLDEN_SET,what's going on monday,CalendarEventInfoIntent,,
GOLDEN_SET,what's going on saturday,CalendarEventInfoIntent,,
GOLDEN_SET,what's going on sunday,CalendarEventInfoIntent,,
GOLDEN_SET,what's going on thursday,CalendarEventInfoIntent,,
GOLDEN_SET,what's going on tuesday,CalendarEventInfoIntent,,
GOLDEN_SET,what's going on wednesday,CalendarEventInfoIntent,,
GOLDEN_SET,whats happening on friday,CalendarEventInfoIntent,,
GOLDEN_SET,whats happening on monday,CalendarEventInfoIntent,,
GOLDEN_SET,whats happening on saturday,CalendarEventInfoIntent,,
GOLDEN_SET,whats happening on sunday,CalendarEventInfoIntent,,
GOLDEN_SET,whats happening on thursday,CalendarEventInfoIntent,,
GOLDEN_SET,whats happening on tuesday,CalendarEventInfoIntent,,
GOLDEN_SET,whats happening on wednesday,CalendarEventInfoIntent,,
GOLDEN_SET,whats happening today,CalendarEventInfoIntent,,
GOLDEN_SET,what's happening today,CalendarEventInfoIntent,,
GOLDEN_SET,whats happening tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what's happening tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what's on the calendar for today,CalendarEventInfoIntent,,
GOLDEN_SET,what's on the calendar for tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,what's on the calendar today,CalendarEventInfoIntent,,
GOLDEN_SET,what's on the calendar tomorrow,CalendarEventInfoIntent,,
GOLDEN_SET,are there any activities,CalendarEventInfoIntent,,
GOLDEN_SET,are there any events,CalendarEventInfoIntent,,
GOLDEN_SET,are there any programs,CalendarEventInfoIntent,,
GOLDEN_SET,what activities are on the calendar,CalendarEventInfoIntent,,
